Country Name,Country Code,Series Name,Series Code,2023 [YR2023]
Antigua and Barbuda,ATG,"Population ages 80 and above, male",SP.POP.80UP.MA,595
Antigua and Barbuda,ATG,"Population, male",SP.POP.TOTL.MA.IN,44408
Antigua and Barbuda,ATG,"Population, female",SP.POP.TOTL.FE.IN,48908
Arab World,ARB,"Population ages 0-14, male",SP.POP.0014.MA.IN,80533026
Arab World,ARB,"Population ages 0-14, female",SP.POP.0014.FE.IN,77155503
Arab World,ARB,"Population ages 15-64, male",SP.POP.1564.MA.IN,158579567
Arab World,ARB,"Population ages 15-64, female",SP.POP.1564.FE.IN,143630301
Arab World,ARB,"Population ages 80 and above, female",SP.POP.80UP.FE,1652666
Arab World,ARB,"Population ages 80 and above, male",SP.POP.80UP.MA,1086978
Arab World,ARB,"Population, male",SP.POP.TOTL.MA.IN,249137276
Arab World,ARB,"Population, female",SP.POP.TOTL.FE.IN,232530263
Argentina,ARG,"Population ages 0-14, male",SP.POP.0014.MA.IN,5187490
Argentina,ARG,"Population ages 0-14, female",SP.POP.0014.FE.IN,4917781
Argentina,ARG,"Population ages 15-64, male",SP.POP.1564.MA.IN,15066752
Argentina,ARG,"Population ages 15-64, female",SP.POP.1564.FE.IN,14809317
Argentina,ARG,"Population ages 80 and above, female",SP.POP.80UP.FE,858214
Argentina,ARG,"Population ages 80 and above, male",SP.POP.80UP.MA,435496
Argentina,ARG,"Population, male",SP.POP.TOTL.MA.IN,22596984
Argentina,ARG,"Population, female",SP.POP.TOTL.FE.IN,22941417
Armenia,ARM,"Population ages 0-14, male",SP.POP.0014.MA.IN,303434
Armenia,ARM,"Population ages 0-14, female",SP.POP.0014.FE.IN,281148
Armenia,ARM,"Population ages 15-64, male",SP.POP.1564.MA.IN,939223
Armenia,ARM,"Population ages 15-64, female",SP.POP.1564.FE.IN,1071967
Armenia,ARM,"Population ages 80 and above, female",SP.POP.80UP.FE,52867
Armenia,ARM,"Population ages 80 and above, male",SP.POP.80UP.MA,22046
Armenia,ARM,"Population, male",SP.POP.TOTL.MA.IN,1387410
Armenia,ARM,"Population, female",SP.POP.TOTL.FE.IN,1603490
Aruba,ABW,"Population ages 0-14, male",SP.POP.0014.MA.IN,9406
Aruba,ABW,"Population ages 0-14, female",SP.POP.0014.FE.IN,9044
Aruba,ABW,"Population ages 15-64, male",SP.POP.1564.MA.IN,33862
Aruba,ABW,"Population ages 15-64, female",SP.POP.1564.FE.IN,37473
Aruba,ABW,"Population ages 80 and above, female",SP.POP.80UP.FE,1602
Aruba,ABW,"Population ages 80 and above, male",SP.POP.80UP.MA,795
Aruba,ABW,"Population, male",SP.POP.TOTL.MA.IN,50706
Aruba,ABW,"Population, female",SP.POP.TOTL.FE.IN,56653
Australia,AUS,"Population ages 0-14, male",SP.POP.0014.MA.IN,2470306
Australia,AUS,"Population ages 0-14, female",SP.POP.0014.FE.IN,2336378
Australia,AUS,"Population ages 15-64, male",SP.POP.1564.MA.IN,8593750
Australia,AUS,"Population ages 15-64, female",SP.POP.1564.FE.IN,8624117
Australia,AUS,"Population ages 80 and above, female",SP.POP.80UP.FE,668019
Australia,AUS,"Population ages 80 and above, male",SP.POP.80UP.MA,499038
Australia,AUS,"Population, male",SP.POP.TOTL.MA.IN,13226767
Australia,AUS,"Population, female",SP.POP.TOTL.FE.IN,13432181
Austria,AUT,"Population ages 0-14, male",SP.POP.0014.MA.IN,671643
Austria,AUT,"Population ages 0-14, female",SP.POP.0014.FE.IN,634439
Austria,AUT,"Population ages 15-64, male",SP.POP.1564.MA.IN,3016413
Austria,AUT,"Population ages 15-64, female",SP.POP.1564.FE.IN,2967936
Austria,AUT,"Population ages 80 and above, female",SP.POP.80UP.FE,346111
Austria,AUT,"Population ages 80 and above, male",SP.POP.80UP.MA,215573
Austria,AUT,"Population, male",SP.POP.TOTL.MA.IN,4494691
Austria,AUT,"Population, female",SP.POP.TOTL.FE.IN,4637070
Azerbaijan,AZE,"Population ages 0-14, male",SP.POP.0014.MA.IN,1194130
Azerbaijan,AZE,"Population ages 0-14, female",SP.POP.0014.FE.IN,1074715
Azerbaijan,AZE,"Population ages 15-64, male",SP.POP.1564.MA.IN,3446272
Azerbaijan,AZE,"Population ages 15-64, female",SP.POP.1564.FE.IN,3625453
Azerbaijan,AZE,"Population ages 80 and above, female",SP.POP.80UP.FE,81782
Azerbaijan,AZE,"Population ages 80 and above, male",SP.POP.80UP.MA,39293
Azerbaijan,AZE,"Population, male",SP.POP.TOTL.MA.IN,4975494
Azerbaijan,AZE,"Population, female",SP.POP.TOTL.FE.IN,5178464
"Bahamas, The",BHS,"Population ages 0-14, male",SP.POP.0014.MA.IN,37034
"Bahamas, The",BHS,"Population ages 0-14, female",SP.POP.0014.FE.IN,36177
"Bahamas, The",BHS,"Population ages 15-64, male",SP.POP.1564.MA.IN,134433
"Bahamas, The",BHS,"Population ages 15-64, female",SP.POP.1564.FE.IN,145869
"Bahamas, The",BHS,"Population ages 80 and above, female",SP.POP.80UP.FE,6684
"Bahamas, The",BHS,"Population ages 80 and above, male",SP.POP.80UP.MA,4155
"Bahamas, The",BHS,"Population, male",SP.POP.TOTL.MA.IN,190909
"Bahamas, The",BHS,"Population, female",SP.POP.TOTL.FE.IN,208531
Bahrain,BHR,"Population ages 0-14, male",SP.POP.0014.MA.IN,152702
Bahrain,BHR,"Population ages 0-14, female",SP.POP.0014.FE.IN,146811
Bahrain,BHR,"Population ages 15-64, male",SP.POP.1564.MA.IN,796113
Bahrain,BHR,"Population ages 15-64, female",SP.POP.1564.FE.IN,424059
Bahrain,BHR,"Population ages 80 and above, female",SP.POP.80UP.FE,4636
Bahrain,BHR,"Population ages 80 and above, male",SP.POP.80UP.MA,4436
Bahrain,BHR,"Population, male",SP.POP.TOTL.MA.IN,978986
Bahrain,BHR,"Population, female",SP.POP.TOTL.FE.IN,598073
Bangladesh,BGD,"Population ages 0-14, male",SP.POP.0014.MA.IN,25134853
Bangladesh,BGD,"Population ages 0-14, female",SP.POP.0014.FE.IN,23494698
Bangladesh,BGD,"Population ages 15-64, male",SP.POP.1564.MA.IN,53931784
Bangladesh,BGD,"Population ages 15-64, female",SP.POP.1564.FE.IN,58068002
Bangladesh,BGD,"Population ages 80 and above, female",SP.POP.80UP.FE,1004294
Bangladesh,BGD,"Population ages 80 and above, male",SP.POP.80UP.MA,766154
Bangladesh,BGD,"Population, male",SP.POP.TOTL.MA.IN,84357711
Bangladesh,BGD,"Population, female",SP.POP.TOTL.FE.IN,87109279
Barbados,BRB,"Population ages 0-14, male",SP.POP.0014.MA.IN,25111
Barbados,BRB,"Population ages 0-14, female",SP.POP.0014.FE.IN,24260
Barbados,BRB,"Population ages 15-64, male",SP.POP.1564.MA.IN,90959
Barbados,BRB,"Population ages 15-64, female",SP.POP.1564.FE.IN,96568
Barbados,BRB,"Population ages 80 and above, female",SP.POP.80UP.FE,5268
Barbados,BRB,"Population ages 80 and above, male",SP.POP.80UP.MA,2893
Barbados,BRB,"Population, male",SP.POP.TOTL.MA.IN,135364
Barbados,BRB,"Population, female",SP.POP.TOTL.FE.IN,146972
Belarus,BLR,"Population ages 0-14, male",SP.POP.0014.MA.IN,787686
Belarus,BLR,"Population ages 0-14, female",SP.POP.0014.FE.IN,742821
Belarus,BLR,"Population ages 15-64, male",SP.POP.1564.MA.IN,2962062
Belarus,BLR,"Population ages 15-64, female",SP.POP.1564.FE.IN,3119730
Belarus,BLR,"Population ages 80 and above, female",SP.POP.80UP.FE,255129
Belarus,BLR,"Population ages 80 and above, male",SP.POP.80UP.MA,76635
Belarus,BLR,"Population, male",SP.POP.TOTL.MA.IN,4277430
Belarus,BLR,"Population, female",SP.POP.TOTL.FE.IN,4900868
Belgium,BEL,"Population ages 0-14, male",SP.POP.0014.MA.IN,981813
Belgium,BEL,"Population ages 0-14, female",SP.POP.0014.FE.IN,938446
Belgium,BEL,"Population ages 15-64, male",SP.POP.1564.MA.IN,3769788
Belgium,BEL,"Population ages 15-64, female",SP.POP.1564.FE.IN,3722767
Belgium,BEL,"Population ages 80 and above, female",SP.POP.80UP.FE,410761
Belgium,BEL,"Population ages 80 and above, male",SP.POP.80UP.MA,248656
Belgium,BEL,"Population, male",SP.POP.TOTL.MA.IN,5810299
Belgium,BEL,"Population, female",SP.POP.TOTL.FE.IN,5977124
Belize,BLZ,"Population ages 0-14, male",SP.POP.0014.MA.IN,56778
Belize,BLZ,"Population ages 0-14, female",SP.POP.0014.FE.IN,54190
Belize,BLZ,"Population ages 15-64, male",SP.POP.1564.MA.IN,141097
Belize,BLZ,"Population ages 15-64, female",SP.POP.1564.FE.IN,139138
Belize,BLZ,"Population ages 80 and above, female",SP.POP.80UP.FE,1564
Belize,BLZ,"Population ages 80 and above, male",SP.POP.80UP.MA,1396
Belize,BLZ,"Population, male",SP.POP.TOTL.MA.IN,207487
Belize,BLZ,"Population, female",SP.POP.TOTL.FE.IN,203619
Benin,BEN,"Population ages 0-14, male",SP.POP.0014.MA.IN,2991927
Benin,BEN,"Population ages 0-14, female",SP.POP.0014.FE.IN,2911603
Benin,BEN,"Population ages 15-64, male",SP.POP.1564.MA.IN,3887251
Benin,BEN,"Population ages 15-64, female",SP.POP.1564.FE.IN,3884522
Benin,BEN,"Population ages 80 and above, female",SP.POP.80UP.FE,33783
Benin,BEN,"Population ages 80 and above, male",SP.POP.80UP.MA,21833
Benin,BEN,"Population, male",SP.POP.TOTL.MA.IN,7074605
Benin,BEN,"Population, female",SP.POP.TOTL.FE.IN,7036429
Bermuda,BMU,"Population ages 0-14, male",SP.POP.0014.MA.IN,4606
Bermuda,BMU,"Population ages 0-14, female",SP.POP.0014.FE.IN,4373
Bermuda,BMU,"Population ages 15-64, male",SP.POP.1564.MA.IN,21282
Bermuda,BMU,"Population ages 15-64, female",SP.POP.1564.FE.IN,20907
Bermuda,BMU,"Population ages 80 and above, female",SP.POP.80UP.FE,2051
Bermuda,BMU,"Population ages 80 and above, male",SP.POP.80UP.MA,1115
Bermuda,BMU,"Population, male",SP.POP.TOTL.MA.IN,31680
Bermuda,BMU,"Population, female",SP.POP.TOTL.FE.IN,33018
Bhutan,BTN,"Population ages 0-14, male",SP.POP.0014.MA.IN,87620
Bhutan,BTN,"Population ages 0-14, female",SP.POP.0014.FE.IN,81150
Bhutan,BTN,"Population ages 15-64, male",SP.POP.1564.MA.IN,308154
Bhutan,BTN,"Population ages 15-64, female",SP.POP.1564.FE.IN,259378
Bhutan,BTN,"Population ages 80 and above, female",SP.POP.80UP.FE,4440
Bhutan,BTN,"Population ages 80 and above, male",SP.POP.80UP.MA,3900
Bhutan,BTN,"Population, male",SP.POP.TOTL.MA.IN,420683
Bhutan,BTN,"Population, female",SP.POP.TOTL.FE.IN,365702
Bolivia,BOL,"Population ages 0-14, male",SP.POP.0014.MA.IN,1877407
Bolivia,BOL,"Population ages 0-14, female",SP.POP.0014.FE.IN,1813276
Bolivia,BOL,"Population ages 15-64, male",SP.POP.1564.MA.IN,3955902
Bolivia,BOL,"Population ages 15-64, female",SP.POP.1564.FE.IN,3917965
Bolivia,BOL,"Population ages 80 and above, female",SP.POP.80UP.FE,71541
Bolivia,BOL,"Population ages 80 and above, male",SP.POP.80UP.MA,45228
Bolivia,BOL,"Population, male",SP.POP.TOTL.MA.IN,6135731
Bolivia,BOL,"Population, female",SP.POP.TOTL.FE.IN,6108428
Bosnia and Herzegovina,BIH,"Population ages 0-14, male",SP.POP.0014.MA.IN,217904
Bosnia and Herzegovina,BIH,"Population ages 0-14, female",SP.POP.0014.FE.IN,203160
Bosnia and Herzegovina,BIH,"Population ages 15-64, male",SP.POP.1564.MA.IN,1035050
Bosnia and Herzegovina,BIH,"Population ages 15-64, female",SP.POP.1564.FE.IN,1039632
Bosnia and Herzegovina,BIH,"Population ages 80 and above, female",SP.POP.80UP.FE,123550
Bosnia and Herzegovina,BIH,"Population ages 80 and above, male",SP.POP.80UP.MA,42797
Bosnia and Herzegovina,BIH,"Population, male",SP.POP.TOTL.MA.IN,1514667
Bosnia and Herzegovina,BIH,"Population, female",SP.POP.TOTL.FE.IN,1670406
Botswana,BWA,"Population ages 0-14, male",SP.POP.0014.MA.IN,403108
Botswana,BWA,"Population ages 0-14, female",SP.POP.0014.FE.IN,397546
Botswana,BWA,"Population ages 15-64, male",SP.POP.1564.MA.IN,790449
Botswana,BWA,"Population ages 15-64, female",SP.POP.1564.FE.IN,790684
Botswana,BWA,"Population ages 80 and above, female",SP.POP.80UP.FE,9991
Botswana,BWA,"Population ages 80 and above, male",SP.POP.80UP.MA,5140
Botswana,BWA,"Population, male",SP.POP.TOTL.MA.IN,1236969
Botswana,BWA,"Population, female",SP.POP.TOTL.FE.IN,1243275
Brazil,BRA,"Population ages 0-14, male",SP.POP.0014.MA.IN,21470798
Brazil,BRA,"Population ages 0-14, female",SP.POP.0014.FE.IN,20622116
Brazil,BRA,"Population ages 15-64, male",SP.POP.1564.MA.IN,72580447
Brazil,BRA,"Population ages 15-64, female",SP.POP.1564.FE.IN,74015441
Brazil,BRA,"Population ages 80 and above, female",SP.POP.80UP.FE,2430382
Brazil,BRA,"Population ages 80 and above, male",SP.POP.80UP.MA,1557629
Brazil,BRA,"Population, male",SP.POP.TOTL.MA.IN,103913061
Brazil,BRA,"Population, female",SP.POP.TOTL.FE.IN,107227668
British Virgin Islands,VGB,"Population ages 0-14, male",SP.POP.0014.MA.IN,2996
British Virgin Islands,VGB,"Population ages 0-14, female",SP.POP.0014.FE.IN,2906
British Virgin Islands,VGB,"Population ages 15-64, male",SP.POP.1564.MA.IN,13804
British Virgin Islands,VGB,"Population ages 15-64, female",SP.POP.1564.FE.IN,15692
British Virgin Islands,VGB,"Population ages 80 and above, female",SP.POP.80UP.FE,316
British Virgin Islands,VGB,"Population ages 80 and above, male",SP.POP.80UP.MA,190
